time (s)	time(hydraulic residence times)	pH probe (pH)	ANC_out	C_T	[H^+] concentration (M)	alpha 2	ANC_out closed	alpha 0	alpha 1	ANC_out open
1003	1.206543967	3.754428864	-0.000150188	0.000550583	0.000176024	8.08394E-10	-0.00017446	0.997160812	0.002839187	-0.000175995
1004	1.207746902	3.853271723	-0.000151209	0.000549921	0.000140194	1.27348E-09	-0.000138235	0.996437769	0.00356223	-0.000140158
1005	1.208949838	3.825536013	-0.00015223	0.00054926	0.000149439	1.12103E-09	-0.000147603	0.996657418	0.003342581	-0.000149405
1006	1.210152773	3.7129035	-0.000153249	0.000548599	0.000193685	6.67859E-10	-0.000192269	0.99741904	0.002580959	-0.000193659
1007	1.211355708	3.703874111	-0.000154267	0.00054794	0.000197754	6.40691E-10	-0.000196369	0.997472012	0.002527987	-0.000197729
1008	1.212558643	3.765408754	-0.000155284	0.000547281	0.000171629	8.50259E-10	-0.000170036	0.997088328	0.002911672	-0.0001716
1009	1.213761578	3.762123823	-0.000156299	0.000546623	0.000172932	8.37512E-10	-0.000171353	0.997110205	0.002889795	-0.000172903
1010	1.214964513	3.722465754	-0.000157314	0.000545966	0.000189467	6.97886E-10	-0.000188027	0.997361734	0.002638265	-0.000189441
1011	1.216167449	3.686250925	-0.000158327	0.000545309	0.000205944	5.90808E-10	-0.00020462	0.997572298	0.002427702	-0.00020592
1012	1.217370384	3.719750166	-0.000159339	0.000544654	0.000190656	6.89224E-10	-0.000189228	0.997378136	0.002621863	-0.000190629
1013	1.218573319	3.758903265	-0.000160349	0.000543999	0.000174219	8.252E-10	-0.000172659	0.997131494	0.002868506	-0.000174191
1014	1.219776254	3.757778645	-0.000161359	0.000543345	0.000174671	8.20943E-10	-0.000173117	0.997138891	0.002861108	-0.000174642
1015	1.220979189	3.703050613	-0.000162367	0.000542692	0.00019813	6.38269E-10	-0.00019676	0.997476789	0.00252321	-0.000198104
1016	1.222182124	3.697515726	-0.000163374	0.000542039	0.000200671	6.22226E-10	-0.00019932	0.997508663	0.002491337	-0.000200646
1017	1.22338506	3.718995571	-0.00016438	0.000541388	0.000190987	6.86836E-10	-0.00018957	0.997382676	0.002617323	-0.000190961
1018	1.224587995	3.764276266	-0.000165384	0.000540737	0.000172077	8.45842E-10	-0.000170507	0.997095888	0.002904111	-0.000172048
1019	1.22579093	3.688260078	-0.000166388	0.000540087	0.000204993	5.96293E-10	-0.000203676	0.997561068	0.002438931	-0.000204969
1020	1.226993865	3.718406916	-0.00016739	0.000539438	0.000191246	6.84979E-10	-0.000189836	0.997386212	0.002613787	-0.00019122
1021	1.2281968	3.698265553	-0.000168391	0.000538789	0.000200325	6.24376E-10	-0.00019898	0.997504368	0.002495631	-0.0002003
1022	1.229399735	3.755291462	-0.000169391	0.000538141	0.000175674	8.11607E-10	-0.000174143	0.997155183	0.002844816	-0.000175646
1023	1.230602671	3.677954197	-0.000170389	0.000537494	0.000209916	5.68686E-10	-0.000208636	0.997618127	0.002381873	-0.000209892
1024	1.231805606	3.725942373	-0.000171387	0.000536848	0.000187957	7.09134E-10	-0.000186529	0.997340586	0.002659413	-0.00018793
1025	1.233008541	3.667661667	-0.000172383	0.000536203	0.00021495	5.4239E-10	-0.000213703	0.997673782	0.002326217	-0.000214927
1026	1.234211476	3.738688707	-0.000173378	0.000535558	0.00018252	7.51946E-10	-0.000181054	0.997261593	0.002738406	-0.000182493
1027	1.235414411	3.745453119	-0.000174371	0.000534914	0.0001797	7.75705E-10	-0.000178212	0.997218727	0.002781273	-0.000179672
1028	1.236617346	3.699053049	-0.000175364	0.000534271	0.000199962	6.26641E-10	-0.000198626	0.99749985	0.002500149	-0.000199937
1029	1.237820281	3.687198877	-0.000176355	0.000533629	0.000205495	5.93389E-10	-0.000204197	0.997567006	0.002432994	-0.00020547
1030	1.239023217	3.754018545	-0.000177346	0.000532987	0.00017619	8.0687E-10	-0.000174678	0.997163485	0.002836514	-0.000176162
1031	1.240226152	3.729319572	-0.000178335	0.000532347	0.000186501	7.20234E-10	-0.000185074	0.99731988	0.002680119	-0.000186474
1032	1.241429087	3.68761754	-0.000179322	0.000531707	0.000205297	5.94533E-10	-0.000204002	0.997564665	0.002435334	-0.000205272
1033	1.242632022	3.735801697	-0.000180309	0.000531067	0.000183738	7.42028E-10	-0.000182293	0.997279688	0.002720312	-0.00018371
1034	1.243834957	3.73760128	-0.000181295	0.000530429	0.000182978	7.48195E-10	-0.000181529	0.997268423	0.002731576	-0.00018295
1035	1.245037892	3.699220896	-0.000182279	0.000529791	0.000199884	6.27125E-10	-0.000198559	0.997498886	0.002501113	-0.000199859
