Day fraction since midnight on 	t*	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	
0.640093368	3.65E+00	3.343761683	3.025333643	106429.3438	
0.640151236	3.67E+00	3.348805666	3.015889645	106426.9219	
0.64020908	3.68E+00	3.346578598	3.020058155	106427.9844	
0.640266988	3.69E+00	3.355736494	3.002929449	106433.4219	
0.640324859	3.70E+00	3.365156412	2.985345602	106438.6875	
0.640382697	3.72E+00	3.36941123	2.977414846	106411.9688	
0.640440567	3.73E+00	3.373440504	2.969911099	106407.375	
0.640498398	3.74E+00	3.380274296	2.957199574	106427.0234	
0.640556326	3.75E+00	3.381657124	2.954629421	106414.1875	
0.640614229	3.77E+00	3.380048752	2.957618713	106401.0625	
0.640672113	3.78E+00	3.390198231	2.938772678	106393.5547	
0.64072989	3.79E+00	3.386989594	2.944726229	106406.5313	
0.640787827	3.81E+00	3.388431549	2.942050219	106396.7188	
0.640845692	3.82E+00	3.385797977	2.946938276	106388.5547	
0.640903553	3.83E+00	3.391292095	2.936743975	106377.9609	
0.640961355	3.84E+00	3.399040222	2.9223876	106365.8594	
0.641019301	3.86E+00	3.386240482	2.946116686	106362.3203	
0.641077104	3.87E+00	3.388419867	2.942071915	106365.2188	
0.641135001	3.88E+00	3.392401457	2.934686899	106356.3984	
0.641192881	3.89E+00	3.380749464	2.956316233	106372.0781	
0.641250773	3.91E+00	3.376650095	2.963938713	106366.7344	
0.641308644	3.92E+00	3.382141113	2.953730106	106360.75	
0.641366506	3.93E+00	3.383308888	2.951560736	106370.7109	
0.641424425	3.94E+00	3.386297226	2.946011543	106363.5078	
0.641482201	3.96E+00	3.388530731	2.941866159	106351.3281	
0.641540078	3.97E+00	3.383730173	2.950778246	106348.6875	
0.641597981	3.98E+00	3.380972624	2.955901623	106332.2656	
0.641655851	3.99E+00	3.382206678	2.953608275	106340.0938	
0.641713669	4.01E+00	3.384172678	2.949956417	106323.3672	
0.641771613	4.02E+00	3.390163899	2.938836336	106329.7109	
0.641829479	4.03E+00	3.391602039	2.936169148	106306.5313	
0.641887381	4.04E+00	3.39109683	2.937106133	106305.5078	
0.641945212	4.06E+00	3.394782066	2.930274487	106306.3125	
0.64200313	4.07E+00	3.394480944	2.930832624	106306.7188	
0.642060901	4.08E+00	3.389431477	2.940195084	106287.1641	
0.642118817	4.09E+00	3.399001837	2.922458649	106293.1094	
0.642176642	4.11E+00	3.397420168	2.925387383	106289.8906	
0.642234599	4.12E+00	3.404481888	2.912318945	106293.0703	
0.642292468	4.13E+00	3.408858538	2.904229403	106279.3047	
0.642350298	4.14E+00	3.408032894	2.905754805	106258.0703	
0.642408205	4.16E+00	3.410375834	2.901426554	106263.8438	
0.642466024	4.17E+00	3.408952713	2.904055357	106264.7422	
0.642523924	4.18E+00	3.406526327	2.908539295	106262.6328	
0.642581792	4.19E+00	3.411247969	2.899816036	106249.6094	
0.642639635	4.21E+00	3.406546116	2.908502579	106254.5234	
0.642697545	4.22E+00	3.404384613	2.912498951	106260.0781	
0.642755367	4.23E+00	3.396898747	2.926353216	106258.0391	
0.642813292	4.24E+00	3.394247294	2.931265593	106269.6406	
0.642871204	4.26E+00	3.398115873	2.924098969	106263.6094	
0.642929032	4.27E+00	3.397961855	2.924384356	106277.0234	
0.642986855	4.28E+00	3.394845963	2.930156231	106279.3984	
0.643044754	4.29E+00	3.390218496	2.938735008	106291.8438	
0.64310257	4.31E+00	3.385749817	2.947027683	106303.6484	
0.643160479	4.32E+00	3.369692087	2.976891518	106300.25	
0.643218329	4.33E+00	3.352329254	3.009298325	106308.75	
0.643276278	4.35E+00	3.367733002	2.980542183	106323.0781	
0.643334074	4.36E+00	3.39218092	2.935095787	106322.5859	
0.643391943	4.37E+00	3.394005537	2.931713581	106327.5156	
0.643449796	4.38E+00	3.391595125	2.936182022	106339.4375	
0.643507662	4.40E+00	3.395663023	2.928642273	106358.0156	
0.643565635	4.41E+00	3.393367767	2.93289566	106365.9297	
0.643623487	4.42E+00	3.394111395	2.931517363	106356.1016	
0.643681343	4.43E+00	3.395483732	2.92897439	106353.6719	
0.643739236	4.45E+00	3.394893408	2.930068255	106364.125	
0.643797043	4.46E+00	3.39171195	2.935965538	106376.8203	
0.643854935	4.47E+00	3.3897295	2.939642191	106376.4453	
0.643912876	4.48E+00	3.390035152	2.939075232	106388.2969	
0.643970687	4.50E+00	3.389625311	2.939835548	106405.6641	
0.644028497	4.51E+00	3.393990517	2.931741476	106398.2578	
0.644086458	4.52E+00	3.386688232	2.945285559	106417.5078	
0.644144281	4.53E+00	3.382778168	2.952546597	106396.3984	
0.644202164	4.55E+00	3.388761282	2.941438437	106415.3594	
0.644260057	4.56E+00	3.391708136	2.935972452	106427.3359	
0.644317845	4.57E+00	3.393069506	2.933448553	106439.9922	
0.644375793	4.58E+00	3.387988329	2.942872763	106431.1719	
0.644433604	4.60E+00	3.388337851	2.942224026	106449.6563	
0.644491499	4.61E+00	3.38376832	2.950707436	106456.7813	
0.64454934	4.62E+00	3.387550592	2.943685055	106449.5859	
0.644607262	4.63E+00	3.393748045	2.932190895	106448.6484	
0.644665135	4.65E+00	3.390640497	2.93795228	106473.7031	
0.644722989	4.66E+00	3.386962652	2.944776297	106466.0313	
0.644780934	4.67E+00	3.3937819	2.932128191	106464.0859	
0.644838699	4.68E+00	3.392467499	2.934564591	106477.7109	
0.644896574	4.70E+00	3.391852617	2.935704708	106503.25	
0.644954431	4.71E+00	0.1109505	13.37531281	106509.4453	
0.645012395	4.72E+00	-0.149107054	15.14107513	106492.7344	
0.64507021	4.73E+00	-0.13801156	15.05795765	106503.4375	
0.645128078	4.75E+00	2.890526295	3.918687344	106501.0156	
0.645185904	4.76E+00	3.410214663	2.901724339	106521.1563	
0.645243839	4.77E+00	3.409122467	2.903741837	106521.5859	
0.645301646	4.78E+00	3.40959096	2.902876377	106530.3047	
0.645359533	4.80E+00	3.402796745	2.915435791	106524.7578	
0.645417385	4.81E+00	3.402582407	2.915832281	106538.3906	
0.645475248	4.82E+00	3.403225422	2.914642811	106556.7813	
0.645533195	4.83E+00	0.698199987	10.35555553	106537.8984	
0.645591065	4.85E+00	3.035776377	3.622296095	106543.1172	
0.645648928	4.86E+00	3.447912216	2.832374811	106558.6719	
0.645706855	4.87E+00	3.448382139	2.831513882	106543.4609	
0.645764605	4.88E+00	3.448177099	2.831889391	106570.5	
0.645822555	4.90E+00	3.448056221	2.832110882	106578.7188	
0.645880378	4.91E+00	3.447892904	2.832410097	106583.0938	
0.645938232	4.92E+00	3.446570396	2.83483386	106588.8672	
