Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)
0.67672543	2.045838118	5.876349449	106751.1172
0.676783285	2.052450419	5.859182835	106749.7266
0.676841195	2.062406063	5.833400726	106754.2031
0.676899036	2.070526838	5.812426567	106750.0859
0.676956898	2.091022253	5.759714603	106748.8047
0.677014776	2.094073534	5.751894474	106751.0078
0.677072621	2.088609695	5.765902996	106749.9297
0.677130464	2.094465494	5.750890255	106760.7188
0.677188338	2.108518601	5.714967251	106765.5156
0.677246218	2.109461308	5.712562561	106743.7656
0.677304186	2.117472649	5.692155361	106763.3672
0.677361935	2.128345966	5.664534569	0
0.677419852	2.138337135	5.639231205	106746.5547
0.677477699	2.131317854	5.657000065	106758.9688
0.677535594	2.115381956	5.697476387	106747.7578
0.677593464	2.13076663	5.658397198	106756.6875
0.677651367	2.138397932	5.639077187	106762.2266
0.677709181	2.129734755	5.66101265	106756.9453
0.67776712	2.161491394	5.580872059	106753.7734
0.677824907	2.180712938	5.532721043	106748.4063
0.677882809	2.172846317	5.552395344	106763.1563
0.677940646	2.175281763	5.546299458	106763.1563
0.677998597	2.17446065	5.548354149	106763.8438
0.678056455	2.177426815	5.540934086	106750.7344
0.678114321	2.183093786	5.52677536	106770.6719
0.6781722	2.182782173	5.527553082	106757.0469
0.678230089	2.180866003	5.532338619	106753.4375
0.678287941	2.18618083	5.519072056	106753.7031
0.678345828	2.202402353	5.478704929	106750.6719
0.678403625	2.205624342	5.470709324	106762.5781
0.678461511	2.206909657	5.467521668	106759.1094
0.678519421	2.208770275	5.462909699	106758.1094
0.678577253	2.216643333	5.443419933	106753.4531
0.678635117	2.216357946	5.444125652	106764.75
0.678693034	2.216866493	5.442868233	106754.4609
0.678750828	2.233827114	5.401033402	106759.2031
0.6788088	2.226898909	5.418097973	106745.3438
0.678866684	2.224639416	5.423670769	106753.0938
0.678924481	2.239001036	5.388311386	106766.5938
0.67898236	2.24633956	5.370298386	106765.4531
0.679040183	2.238975287	5.388374329	106744.6797
0.679098124	2.231815338	5.405984879	106746.1953
0.679155995	2.254117966	5.351246357	106758.0938
0.679213901	2.228168249	5.414968967	106758.0938
0.679271722	2.242220402	5.380404472	106758.4531
0.679329582	2.256736279	5.344842434	106751.4063
0.679387424	2.225492477	5.421566486	106742.2891
0.679445395	2.229464054	5.411776066	106742.1797
0.679503218	2.227198124	5.417360306	106742.1797
0.679561104	2.228848457	5.413292885	106738.4297
0.679618887	2.237569809	5.391828537	106743.9766
0.679676837	2.240345478	5.385008335	106743.0078
0.679734698	2.2348423	5.398535729	106741.1797
0.679792605	2.243268967	5.377830982	106734.1406
0.679850405	2.243304968	5.377742291	106735.7656
0.679908347	2.2096169	5.460811615	106735.0859
0.679966133	2.205299139	5.471516132	106732.2813
0.680024083	2.202677727	5.478021145	106727.1641
0.680081864	2.217120171	5.442241192	106734.5781
0.680139756	2.194114208	5.499306202	106739.9922
0.680197594	2.155854225	5.595044613	106722.6172
0.680255542	2.133330345	5.651901722	106730.2813
0.680313451	2.140114069	5.634738445	106720.125
0.680371311	2.128130436	5.665081024	106726.7266
0.680429076	2.131787062	5.65581131	106738.9063
0.680487064	2.164020062	5.574522495	106717.4531
0.680544818	2.126823902	5.668395519	106723.9766
0.680602706	2.152959824	5.602330208	106714.3906
0.680660545	2.152902365	5.60247469	106729.0313
0.680718472	2.140841961	5.632898808	106725.1172
0.680776381	2.133266449	5.652063847	106727.1016
0.680834176	2.13942647	5.636476517	106729.4453
0.680892125	2.131587505	5.656316757	106717.4844
0.680950004	2.123289347	5.677368641	106711.7734
0.681007839	2.125550032	5.671628475	106705.7891
0.681065708	2.11689496	5.69362545	106722.5547
0.681123578	2.117658377	5.691682816	106706.2734
0.681181444	2.097629547	5.742789269	106710.9297
0.681239282	2.116782904	5.693910599	106718.8438
0.681297174	2.088751793	5.765538216	106715.5703
0.681355061	2.075024128	5.800832748	106703.6484
0.681412888	2.078427315	5.792069435	106692
0.681470801	2.066774845	5.822110653	106700.6563
0.681528664	2.05115056	5.862555027	106706.1172
0.681586549	2.056315899	5.849163532	106701.4297
0.68164442	2.055114508	5.852276325	106691.1484
0.681702217	2.057104111	5.847121716	106672.3047
0.681760125	2.063848734	5.829670906	106672.3047
0.681818	2.071611404	5.809628964	106688.3594
0.681875867	2.06405282	5.829143524	106707.4531
0.681933712	2.052582026	5.858841896	106696.8203
0.681991638	2.0426507	5.884636402	106691.1094
0.682049525	2.046723366	5.874049187	106693.0938
0.682107363	2.030953884	5.91511488	106681.0781
0.682165311	2.030714274	5.915740013	106697.6641
0.682223173	2.029702902	5.918380737	106680.1328
0.682281005	2.016813278	5.952103615	106671.5859
0.68233883	1.971439719	6.071864128	106683.7891
0.682396717	1.99943912	5.997767448	106678.3672
0.68245458	1.902159572	6.25796032	106666.3906
0.682512516	1.791094899	6.564847469	106658.7109
0.682570339	-0.607171118	19.53004837	106664.125
0.682628221	-0.695727229	20.70957565	106674.5313
0.682686141	-0.500003398	18.28795052	106670.1563
0.682743978	-0.586704075	19.27874565	106676.9922
0.682801867	1.14687109	8.596077919	106657.5625
0.682859721	1.747036696	6.689646244	106647.0469
0.682917598	1.737724543	6.716253758	106655.6016
0.682975421	1.681112409	6.879785538	106667.75
0.683033325	1.695029974	6.839297295	106651.1172
0.683091164	1.716454625	6.777335644	106640.2109
0.683149067	1.701792836	6.819691181	106663.2344
0.683206967	1.699308395	6.826888561	106655.3828
0.683264829	1.677026033	6.891709328	106639.6719
0.683322688	1.69167304	6.84904623	106644.7734
0.683380515	1.676471829	6.893327713	106634.6797
0.683438443	1.650246024	6.970257759	106642.5234
0.683496279	1.567486286	7.217575073	106640.9688
0.683554105	1.580615401	7.177868843	106622.9922
0.683612007	1.621117353	7.056506634	106616.5078
0.683669874	1.580860734	7.177128315	106624.4531
0.683727727	1.659350514	6.943473816	106611.1641
0.683785578	1.61894834	7.062963486	106621.9141
0.68384343	1.638985753	7.003497601	106618.8984
0.683901307	1.642312527	6.993664265	106613.8359
